cnpj,cnpj_basico,matriz_filial,nome_fantasia,razao_social,situacao_cadastral,situacao,data_situacao,data_inicio,ano_inicio,cnae_principal,cnae_descricao,cnae_secundaria,logradouro,numero,bairro,cep,municipio_codigo,municipio,uf,motivo_situacao,natureza_juridica,natureza_juridica_desc,capital_social,porte_codigo,porte,mei,optante_simples
02455198000123,02455198,Matriz,,LA PARMEGGIANI & LANCHORANTE LTDA,02,Ativa,2003-08-23,1998-04-02,1998,5611201,Restaurantes e similares,,SEBASTIAO HUMEL,386,CENTRO,12210200,7099,SAO JOSE DOS CAMPOS,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"0,00",01,Microempresa,Não MEI,Sim
02455528000180,02455528,Matriz,,SK CHOPERIA E CAFETERIA LTDA,02,Ativa,2005-11-03,1997-12-23,1997,5611201,Restaurantes e similares,,INDEPENDENCIA,149,CENTRO,93010001,8877,SAO LEOPOLDO,RS,SEM MOTIVO,2062,Sociedade Empresária Limitada,"0,00",01,Microempresa,Não MEI,Não
02455545000118,02455545,Matriz,,ADRIANA CHELOTTI ANDREOLA,02,Ativa,2005-11-03,1998-03-12,1998,5611203,"Lanchonetes, casas de chá, de sucos e similares",,ANJO DA GUARDA,SN,SANTOS ANJOS,97220000,8657,FAXINAL DO SOTURNO,RS,SEM MOTIVO,2135,Empresário (Individual),"0,00",01,Microempresa,Não MEI,Sim
02455593000106,02455593,Matriz,TUTTI BONA PIZZA,S. NOBREGA PIZZARIA LTDA,02,Ativa,2004-06-19,1998-03-26,1998,5611201,Restaurantes e similares,,LUIZ PEREIRA BARRETO,647,VILA SAO PAULO,16015445,6155,ARACATUBA,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"7000,00",01,Microempresa,Não MEI,Sim
02455662000181,02455662,Matriz,BAR DO VALDIR,VALDIR GOMES DE OLIVEIRA,02,Ativa,2010-05-15,1998-02-20,1998,5611203,"Lanchonetes, casas de chá, de sucos e similares",,CALCADAO DR. MARCO ANTONIO FREITAS,98,CENTRO,36750000,4933,PALMA,MG,SEM MOTIVO,2135,Empresário (Individual),"0,00",01,Microempresa,Não MEI,Não
02455944000189,02455944,Matriz,TCHE DO PAMPAS,T.A.SPIEGEL,02,Ativa,2005-11-03,1998-03-27,1998,5611201,Restaurantes e similares,,FERNANDO DE NORONHA,45,JARDIM GUADALAJARA,29109040,5703,VILA VELHA,ES,SEM MOTIVO,2135,Empresário (Individual),"10000,00",01,Microempresa,Não MEI,Não
02456086000197,02456086,Matriz,,MEGA BURG RESTAURANTE E LANCHONETE LTDA,02,Ativa,2005-11-03,1998-04-06,1998,5611201,Restaurantes e similares,"1091102,5611203",VENANCIO NEIVA,77,CENTRO,58100060,1981,CAMPINA GRANDE,PB,SEM MOTIVO,2062,Sociedade Empresária Limitada,"30000,00",03,Empresa de pequeno porte,Não MEI,Sim
02456220000150,02456220,Matriz,SORVETERIA CAPPIO,SERGIO GODOY CAPPIO SORVETERIA,02,Ativa,2003-12-26,1998-02-11,1998,5611203,"Lanchonetes, casas de chá, de sucos e similares","4721104,4723700",JOAO PESSOA,1499,PEDREGULHO,12515010,6469,GUARATINGUETA,SP,SEM MOTIVO,2135,Empresário (Individual),"0,00",01,Microempresa,Não MEI,Sim
02456319000151,02456319,Matriz,RESTAURANTE CALIFORNIA,UBIRAJARA PALMEIRA - TEODORO SAMPAIO,02,Ativa,2005-11-03,1998-03-25,1998,5611201,Restaurantes e similares,,JOSE MIGUEL DE CASTRO ANDRADE,1026,CENTRO,19280000,7187,TEODORO SAMPAIO,SP,SEM MOTIVO,2135,Empresário (Individual),"0,00",01,Microempresa,Não MEI,Não
02456425000135,02456425,Matriz,,ELSENILTO LIMA BARBOSA,02,Ativa,2005-11-03,1998-03-23,1998,4721102,Padaria e confeitaria com predominância de revenda,,GUARANTA,212,JARDIM SANTA CLARA,14960000,6771,NOVO HORIZONTE,SP,SEM MOTIVO,2135,Empresário (Individual),"0,00",01,Microempresa,Não MEI,Não
